character_name,playable,rarity,vision,region,model,constellation,birthday,special_dish,voice_eng,voice_cn,voice_jp,voice_kr,release_date,weapon_type,ascension,ascension_specialty,ascension_talent_mat,ascension_boss_mat,talent_book_1,talent_book_2,talent_book_3,talent_weekly,hp_90_90,atk_90_90,def_90_90,hp_80_90,atk_80_90,def_80_90,hp_80_80,atk_80_80,def_80_80,hp_70_80,atk_70_80,def_70_80,hp_70_70,atk_70_70,def_70_70,hp_60_70,atk_60_70,def_60_70,hp_60_60,atk_60_60,def_60_60,hp_50_60,atk_50_60,def_50_60,hp_50_50,atk_50_50,def_50_50,hp_40_50,atk_40_50,def_40_50,hp_40_40,atk_40_40,def_40_40,hp_20_40,atk_20_40,def_20_40,hp_20_20,atk_20_20,def_20_20,hp_1_20,atk_1_20,def_1_20,spsecial_0,special_1,special_2,special_3,special_4,special_5,special_6,id
Traveler (Aether),Y,5,None,NA,Medium Female,Viator,Player's Choice,None,Sarah Miller-Crews,Yanning (宴宁),Aoi Yūki (悠木碧),Lee Sae-a (이새아),9/28/2020,Sword,ATK,Windwheel Aster,Damaged Mask,None,"Teachings of Freedom, Teachings of Transience","Guide to Resistance, Guide to Ballad, Guide to Freedom Guide to Elegance, Guide to Light, Guide to Transience","Philosophies of Ballad, Philosophies of Freedom, Pholosophies of Resistance, Philosophies of Light, Philosophies of Transience, Philosophies of Elegance","Dvalin's Sigh, Dragon Lord's Crown",10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,40 
Traveler (Lumine),Y,5,None,NA,Medium Male,Viatrix,Player's Choice,None,Zach Aguilar,Luyin (鹿喑),Shun Horie (堀江瞬),Lee Kyung-tae (이경태),9/28/2020,Sword,ATK,Windwheel Aster,Damaged Mask,None,"Teachings of Freedom, Teachings of Transience","Guide to Resistance, Guide to Ballad, Guide to Freedom Guide to Elegance, Guide to Light, Guide to Transience","Philosophies of Ballad, Philosophies of Freedom, Pholosophies of Resistance, Philosophies of Light, Philosophies of Transience, Philosophies of Elegance","Dvalin's Sigh, Dragon Lord's Crown",10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,41 
Venti,Y,5,Anemo,Mondstadt,Medium Male,Carmen Dei,Jun-16,A Buoyant Breeze,Erika Harlacher,Miaojiang (喵酱),Ayumu Murase (村瀬歩),Jung Yoo-jung (정유정),9/28/2020,Bow,Energy Recharge,Cecilia,Slime Condensate,Hurricane Seed,Teachings of Ballad,Guide to Ballad,Philosophies of Ballad,Tail of Boreas,10531,263,669,9790,245,622,9292,232,590,8557,214,543,8058,201,512,7331,183,465,6832,171,434,6112,153,388,5446,136,346,4734,118,301,4234,106,269,2830,71,180,2127,53,135,820,20,52,0.00%,0.00%,8.00%,16.00%,16.00%,24.00%,32.00%,42 
Xiangling,Y,4,Pyro,Liyue,Medium Female,Trulla,2月11日,Wanmin Restaurant's Boiled Fish,Jackie Lastra,Xiao N (小N),Ari Ozawa (小澤亜李),Yun A-yeong (윤아영),9/28/2020,Polearm,Elemental Mastery,Jueyun Chili,Slime Condensate,Everflame Seed,Teachings of Diligence,Guide to Diligence,Philosophies of Diligence,Dvalin's Claw,10875,225,669,10122,210,623,9638,200,593,8885,184,546,8401,174,517,7648,158,470,7164,148,441,6411,133,394,5766,119,355,5013,104,308,4529,94,279,3024,63,186,2342,48,144,912,19,56,0,0,24,48,48,72,96,43 
Xiao,Y,5,Anemo,Liyue,Medium Male,Alatus Nemeseos,Apr-17,"""Sweet Dream""",Laila Berzins,kinsen,Yoshitsugu Matsuoka (松岡禎丞),Sim Kyu-hyuk (심규혁),2/3/2021,Polearm,CRIT Rate,Qingxin,Slime Condensate,Juvenile Jade,Teachings of Prosperity,Guide to Prosperity,Philosophies of Prosperity,Shadow of the Warrior,12736,349,799,11840,325,743,11236,308,705,10348,284,649,9744,267,612,8866,243,556,8262,227,519,7391,203,464,6586,181,413,5724,157,359,5120,141,321,3422,94,215,2572,71,161,991,27,62,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%,44 
Xingqiu,Y,4,Hydro,Liyue,Medium Male,Fabulae Textile,9月10日,All-Delicacy Parcels,Cristina Vee Valenzuela,Yajing Tang (唐雅菁),Junko Minagawa (皆川純子),Gwak Gyu-mi (곽규미),9/28/2020,Sword,ATK,Silk Flower,Damaged Mask,Cleansing Heart,Teachings of Gold,Guide to Gold,Philosophies of Gold,Tail of Boreas,10223,202,758,9515,188,705,9060,179,671,8352,165,619,7897,156,585,7190,142,533,6735,133,499,6027,119,447,5420,107,402,4712,93,349,4257,84,316,2842,56,211,2202,43,163,857,17,64,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,45 
Xinyan,Y,4,Pyro,Liyue,Medium Female,Fila Ignium,Oct-16,Rockin' Riffin' Chicken!,Laura Stahl,Yaxin Wang (王雅欣),Chiaki Takahashi (たかはし智秋),Kim Chae-ha (김채하),12/1/2020,Claymore,ATK,Violetgrass,Treasure Hoarder Insignia,Everflame Seed,Teachings of Gold,Guide to Gold,Philosophies of Gold,Tusk of Monoceros Caeli,11201,249,799,10425,231,743,9927,220,708,9151,203,652,8653,192,617,7878,175,562,7379,164,526,6604,147,471,5939,132,423,5163,115,368,4665,103,333,3114,69,222,2413,54,172,939,21,67,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,46 
Yae Miko,Y,5,Electro,Inazuma,Tall Female,Divina Vulpes,Jun-27,Fukuuchi Udon,Ratana,Mingya Du (杜冥鸦),Ayane Sakura (佐倉綾音),Moon Yoo-jeong (문유정),2/16/2022,Catalyst,CRIT Rate,Sea Ganoderma,Old Handguard,Dragonheir's False Fin,Teachings of Light,Guide to Light,Philosophies of Light,The Meaning of Aeons,10372,340,569,9643,316,529,9151,300,502,8428,276,462,7936,260,435,7220,236,396,6729,220,369,6020,197,330,5364,176,294,4662,153,256,4170,137,229,2787,91,153,2065,69,115,807,26,44,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%,47 
Yanfei,Y,4,Pyro,Liyue,Medium Female,Bestia Iustitia,Jul-28,"""My Way""",Lizzie Freeman,Ziwu Su (苏子芜),Yumiri Hanamori (花守 ゆみり),Cho Kyung-yi (조경이),4/28/2021,Catalyst,Pyro DMG Bonus,Noctilucous Jade,Treasure Hoarder Insignia,Juvenile Jade,Teachings of Gold,Guide to Gold,Philosophies of Gold,Bloodjade Branch,9352,240,587,8705,223,546,8289,213,520,7641,196,480,7225,185,453,6578,169,413,6161,158,387,5514,141,346,4959,127,311,4311,111,271,3895,100,244,2600,67,163,2014,52,126,784,20,49,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,48 
Yelan,Y,5,Hydro,Liyue,Tall Female,Umbrabilis Orchis,Apr-20,Dew-Dipped Shrimp,Laura Post,Xu Hui (徐慧),Endou Aya (遠藤 綾),Min-a (민아),5/31/2022,Bow,CRIT Rate,Starconch,Recruit's Insignia,Runic Fang,Teachings of Prosperity,Guide to Prosperity,Philosophies of Prosperity,Gilded Scale,14450,244,548,13434,227,509,12749,215,483,11741,198,445,11056,187,419,10059,170,381,9374,158,355,8386,142,318,7472,126,283,6495,110,246,5810,98,220,3883,66,147,2918,49,111,1125,19,43,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%,49 
Yoimiya,Y,5,Pyro,Inazuma,Medium Female,Carassius Auratus,Jun-21,Summer Festival Fish,Jenny Yokobori,Na Jin (金娜),Kana Ueda (植田佳奈),Bak Sin-hee (박신희),8/10/2021,Bow,CRIT Rate,Naku Weed,Divining Scroll,Smoldering Pearl,Teachings of Transience,Guide to Transience,Philosophies of Transience,Dragon Lord's Crown,10164,323,615,9450,300,572,8968,285,542,8259,262,500,7777,247,470,7075,225,428,6593,209,399,6899,187,357,5256,167,318,4568,145,276,4086,130,318,2731,87,165,2053,65,124,791,25,48,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%,50 
Yun Jin,Y,4,Geo,Liyue,Medium Female,Opera Grandis,May-21,Cloud-Shrouded Jade,"Judy Alice Lee, Yang Yang (杨扬)","Wenxiao He (贺文潇), Yang Yang (杨扬)","Koiwai Kotori (小岩井ことり), Yang Yang (杨扬)","Sa Mun-yeong (사문영), Yang Yang (杨扬)",1/5/2022,Polearm,Energy Recharge,Glaze Lily,Damaged Mask,Riftborn Regalia,Teachings of Diligence,Guide to Diligence,Philosophies of Diligence,Ashen Heart,10657,191,734,9919,178,684,9445,169,651,8707,156,600,8233,148,567,7495,134,517,7021,126,484,6283,113,433,5651,101,389,4913,88,339,4438,80,306,2963,53,204,2296,41,156,894,16,62,0.00%,0.00%,6.70%,13.30%,13.30%,20.00%,26.70%,51 
Zhongli,Y,5,Geo,Liyue,Tall Male,Lapis Dei,Dec-31,Slow-Cooked Bamboo Shoot Soup,Keith Silverstein,Bo Peng (彭博),Tomoaki Maeno (前野智昭),Pyo Yeong-jae (표영재),12/1/2020,Polearm,Geo DMG Bonus,Cor Lapis,Slime Condensate,Basalt Pillar,Teachings of Gold,Guide to Gold,Philosophies of Gold,Tusk of Monoceros Caeli,14695,251,738,13662,233,686,12965,222,651,11940,204,599,11243,192,564,10230,175,514,9533,163,479,8528,146,428,7599,130,382,6605,113,332,5908,101,297,3948,67,198,2967,51,149,1144,20,57,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,52 
